https://en.wikipedia.org/wiki/List_of_railway_stations_in_India
Athipattu 	AIP 	Tamil Nadu 	SR/Southern 		
Athipattu Pudhunagar 	AIPP 	Tamil Nadu 	SR/Southern 	4 m 	
Atrampur 	ARP 	Uttar Pradesh 			
Atrauli Road 	AUR 	Uttar Pradesh 			
Atru 	ATRU 	Rajasthan 			
Attabira 	ATS 	Odisha 			
Attar 	ATR 	Madhya Pradesh 			
Attur 	ATTR 	Tamil Nadu 			
Aujari 	AJRE 	Assam 	NFR/Northeast Frontier 	60 m 	[17]
Aulenda 	AED 	Uttar Pradesh 			
Aunrihar Junction 	ARJ 	Uttar Pradesh 			
Aurangabad 	AWB 	Maharashtra 	SCR/South Central 		
Auvaneswarem 	AVS 	Kerala 			
Auwa 	AUWA 	Rajastan 			
Avadi 	AVD 	Tamil Nadu 	SR/Southern 	26.85 m 	
Ayodhya 	AY 	Uttar Pradesh 			
Azamgarh 	AMH 	Uttar Pradesh 			
Azamnagar Road 	AZR 	Bihar 			
Azara 	AZA 	Assam 	NFR/Northeast Frontier 	51 m 	[18]
Azimganj City 	ACLE 	West Bengal 	ER/Eastrn Railway 		
Azimganj Junction 	AZ 	West Bengal 	ER/Eastrn Railway 		
B
Main entrance of Bareilly Junction.
Station Name 	Station Code 	State 	Railway Zone 	Elevation 	Map
Babarpur 	BBDE 	Haryana 		
Babatpur 	BTP 	Uttar Pradesh 		
Bebejia 	BEE 	Assam 	
Babhnan 	BV 	Uttar Pradesh 		
Babina 	BAB 	Madhya Pradesh 		
Babrala 	BBA 	Uttar Pradesh 		
Babugarh 	BBO 	Uttar Pradesh 		
Babupeth 	BUPH 	Maharastra 		
Bacheli 	BCHL 	Chhattisgarh 		
Bachhrawan 	BCN 	Uttar Pradesh 		
Bachwara Junction 	BCA 	Bihar 		
Badmal 	BUDM 	Odisha 	
Baad 	BAD 	Uttar Pradesh 		
Badagara (Vatakara) 	BDJ 	Kerala 		
Badami 	BDM 	Karnataka 		
Badampahar 	BMPR 	Jharkhand 		
Badampudi 	BPY 	Andhra Pradesh 		
Badurpur Ghat 	BPG 	Assam 	NFR/Northeast Frontier 	27 m 	[19]
Badarpur Junction 	BPB 	Assam 	NFR/Northeast Frontier 	23 m 	[20]
Badausa 	train 	Uttar Pradesh 		
Badgam 	BDGM 	Jammu & Kashmir 	1668m 	
Badhada 	BDHA 	Gujarat 		
Badhal 	BDHL 	Rajasthan 		
Badlapur 	BUD 	Maharashtra 	CR/Central 	
Badli 	BHD 	Delhi 		
Badnapur 	BDU 	Maharashtra 		
Badnera Junction 	BD 	Maharashtra 		
Badshahnagar 	BNZ 	Uttar Pradesh 		
Badshahpur 	BSE 	Haryana 		
Badwasi 	BWS 	Rajasthan 		
Bagaha 	BUG 	Bihar 		
Bagalkot 	BGK 	Karnataka 		
Bagbahra 	BGBR 	Chhattisgarh 		
Bagetar 	BF 	Assam 	NFR/Northeast Frontier 	515 m 	[21]
Bagevadi Rd 	BSRX 	Karnataka 		
Baghauli 	BGH 	Uttar Pradesh 		
Baghora 	BJQ 	Madhya Pradesh 		
Bagra Tawa 	BGTA 	Madhya Pradesh 		
Bagri Nagar 	BQN 			
Bagri Sajjanpur 	BGX 			
Bagwali 	BWB 			
Bahadur Singh W 	BSS 			
Bahadurgarh 	BGZ 	Haryana 		
Bahadurpur 	BPD 			
Baheri 	BHI 			
Bahilpurwa 	BIP 			
Bahjoi 	BJ 			
Bahraich 	BRK 	Uttar Pradesh 		
Baidyanathdham 	BDME 	Jharkhand 		
Baihata Chariali 	BIZ 	Assam 	NFR/Northeast Frontier 	55 m 	[22]
Baiguda 	BGUA 	Odisha 	
Baijnathpur 	BYP 			
Baikunthpur Rd 	BRH 	Chhattisgarh 		
Bainchi 	BOI 	West Bengal 	ER/Eastrn Railway 	
Bairabi (Bhairabi) 	BHRB 	Mizoram 	NFR/Northeast Frontier 	48 m 	[23]
Bairapur 	BIP 	Madhya Pradesh 		
Bairagnia 	BGU 			
Baitalpur 	BALR 			
Bajva 	BJW 			
Bakhtiyarpur Junction 	BKP 	Bihar 		
Bakra Road 	BK 	Rajasthan 		
Balaghat 	BTC 	Madhya Pradesh 		
Balamau Junction 	BLM 	Uttar Pradesh 		
Balangir 	BLGR 	Odisha 		
Balasore 	BLS 	Odisha 		
Balauda Takun 	BLDK 			
Balawala 	BLWL 			
Balawali 	BLW 			
Balharshah 	BPQ 	Maharashtra 		
Baliakheri 	BAE 			
Balikotia 	BKS 	Assam 	NFR/Northeast Frontier 	67 m 	[24]
Balipara 	BVU 	Assam 		
Ballabhgarh 	BVH 	Haryana 		
Balli 	BLLI 			
Ballia 	BUI 	Uttar Pradesh 		
Ballupur 	BAPR 	Uttar Pradesh 		
Bally 	BLY 	West Bengal 	ER/Eastrn Railway 	
Balrampur 	BLP 	Madhya Pradesh 		
Balsamand 	BLSD 			
Balugan 	BALU 	Odisha 		
Balwa 	WAB 			
Balwara 	BAWA 	Rajasthan 		
Bamangachhi 	BMG 	West Bengal 	ER/Eastrn Railway 	
Bamanheri 	BMHR 			
Bamhani 	BMW 			
Bamla 	BMLL 	Haryana 		
Bamnia 	BMI 			
Bamsin 	BMSN 	Rajasthan 		
Bamra 	BMB 	Odisha 		
Bamsin 	BMSN 			
Bamuni Gaon 	BGMN 	Assam 	NFR/Northeast Frontier 	48 m 	[25]
Banahi 	BYN 			
Banapura 	BPF 	Madhya Pradesh 		
Banar 	BNO 	Rajasthan 		
Banarhat 	BNQ 	West Bengal 	ER/Eastrn Railway 	
Banas 	BNS 	Rajasthan 		
Banasandra 	BSN 	Karnataka 		
